participantId,yoe,format
67895b7d6400163124042af7,0.67,jsonc
659960f32faa4ff4b116de92,0.0,toml
5f7f239e9b204e05b6c36538,0.0,json5
67b8636acd5ed420cc098b64,6.0,toml
57ca4b09993b08000192297b,10.0,xml
67d1cc8044430e99a7d91b4a,1.5,toml
6693ce87e76d32ccf07fbcd8,2.0,xml
680ebf035ab59d342f31726e,0.0,hjson
67f0d86fabc081fdc410e828,0.0,yaml
6691809035e52ca9b2b0f39a,0.21,yaml
678faf5b31008609fd85b185,0.0,json5
65e85a421f2dee53c62fbf45,0.0,json5
666b0b42bb6fa2822fa27a32,0.5,json5
6708da9c62672d0fe65b6683,0.0,jsonc
60f70af563ef757f65e750e0,0.0,xml
670f9ddb0e32533c222c3031,0.25,json
67d03135f855dd0ff0994265,2.0,toml
674f479b2a4ef75e4551f258,2.0,json5
5ee4a14b578f8a000b384376,0.0,yaml
63af557b3d4f219c3226b7d6,0.0,yaml
65583ffa38bfc41805a553cd,1.5,hjson
66684d30d1a0d64a3a348c82,0.67,yaml
60ec51c51a3158a50ded8a3e,3.33,json5
671bdd06525adeea062a1d73,3.17,json
6647e8618c77f7b938865d25,4.0,json5
613a541cf948d295c1df8752,0.0,jsonc
5e5c993cd0394c474f7cc502,0.33,toml
67c045fa5074c5500ca40e76,2.0,xml
67d2eaf9d5996dc6be1c7072,0.58,xml
60e2ebb6ad1d5ee0e515a7c5,0.0,yaml
67153c0d669d191ab273b865,0.33,yaml
67ab1d683813ed19603e1030,5.25,yaml
60e343946a7faddde88fbe3c,0.0,yaml
67e0333064ddada0e2fc6f1e,0.25,yaml
5b3ec4332a5fbf00014eae57,2.0,toml
66912d7bf9d35c08f6919958,0.33,json
6717980047b565ab5b849317,0.5,hjson
651b29ff3a6cadf518640abe,0.0,xml
6818ca1523ece90f671e3601,3.0,json
67c1dd323984fa84ae83e162,0.92,jsonc
67d2a409ab3638e33fc417b9,0.5,hjson
66ec8f7ce843d25227820f97,0.75,hjson
6680d2279263349cc005956a,3.0,json
6081728972120aa7f9685791,10.0,json
67aca6831f2b0b79416bdb6c,3.5,xml
675aaf0eb1b401136f37c475,0.17,json
6723422d5f63c70998014b03,1.0,jsonc
6554e79557e3d6be08e32ceb,0.0,yaml
645b519f108c046164a6d232,3.0,yaml
589cd166b2a7180001f0527d,0.08,jsonc
6682a94b061954ae8483fb08,2.5,toml
6735b2a6112cf17b7b8df8d1,0.0,jsonc
67792abbab2fa21bf3644c09,0.0,hjson
5ea90bb434d5e337e98c7edd,0.0,json5
677f8968bbb08bc37c8d2a4b,58.33,xml
672f51ea346fba23ddd5a793,3.5,xml
67d13a1ec91ae2216896de44,5.42,json
67bf5ad9c5a4637861cfd21e,0.0,toml
616e5ae706e970fe0aff99b6,3.0,hjson
66311bae532a469f4858933e,2.0,toml
669284eabea5b8c9655927da,0.0,yaml
67da5ae29f57419143d2b99a,1.0,jsonc
68138e7f96395f4c5f3a0a87,0.5,json
66684beba2a2d24645a6d782,1.0,jsonc
660eafee7515c432e850362d,0.17,hjson
62d7fef5538b81f205ba4656,1.17,xml
67caa7fe00179edfb74d3e1a,0.33,json5
65fae23bd06ae76bcc297e8b,2.0,hjson
588ab33542c8e900019d02ae,0.0,jsonc
67f4ea448eb6a2b293c1f2fc,1.33,json
65f4ab7884f8411c9e11a34e,0.25,json5
611d0afbb2a19acfd012545b,0.0,toml
67406c1303bd39d206ff2b50,0.0,xml
61601e9a6b8306196d2a129c,0.0,hjson
65fad6c874ac75642ffc254b,0.0,hjson
606c7d27f4f3ae688332a55d,2.83,toml
67f66486e35051403284eb5e,0.5,xml
67a8fa10b4db1990f7372f01,4.33,json5
6094ce8d0764c24f352d1fe5,3.75,hjson
6715c7aedee148c65c10509c,0.25,yaml
664e413a5f3eb7f99d90e15b,1.33,json
65fb13bebfa339f73b4cf76a,2.17,jsonc
65fb236a5a78fcf672df7469,4.0,json
60f7c71d1cffec381351b0b3,0.0,xml
675330fb23080b9ae3ec8239,3.17,json5
671e39c25e5e3f340a6f21d4,1.0,jsonc
5fb4fcd1fce53c30649dd704,0.0,xml
67d0251c804fc17732eb948a,2.0,toml
67d11644421446068e1fec14,3.75,toml
67d0088c269b3e96d9ba6019,0.08,hjson
678a94ff1cf9f0775cb89e69,3.0,hjson
67176f0792ed8c4064f61a2c,0.75,json
678526627e48ded12935af38,0.0,yaml
6738d09a032bf7224008ce7e,1.17,yaml
62d6d87d91cf24a3c1c0f10c,0.0,hjson
67c6ed1e12728e4fe7a1edf6,0.67,jsonc
672b5998daafdbf9c43a531b,1.08,jsonc
5795af044a84da00014c5df1,8.75,json
65298aca34ac384b783169d4,0.17,jsonc
681374d36d7bd7ccb6f914f5,3.0,json5
61287939bc5a971fc15333e4,0.0,json
65feaaac53eb219f09ad5ea0,1.92,toml
5755c957eb80c4000741a9ce,13.33,json5
6693d3ae2bd15cf7a058e6a7,0.0,json5
60e2bf0aa568b97e8d525872,1.0,toml
67d24179c5bd87691f1fe036,0.0,yaml
5c4f5967aac8be0001716a65,0.67,xml
